"ID","Chr","Start","End","Pops","Metapops","Stats","Evidence","Source","GenesAnnotation"
"1",1,1150000,1600000,"CEU","EUR","iHS","LD","Klassmann et al.",NA
"2",2,82850000,83150000,"CEU","EUR","iHS","LD","Klassmann et al.",NA
"3",2,121450000,121750000,"CEU","EUR","iHS","LD","Klassmann et al.",NA
"4",2,134350000,136250000,"CEU","EUR","iHS","LD","Klassmann et al.",NA
"5",4,450000,750000,"CEU","EUR","iHS","LD","Klassmann et al.",NA
"6",4,30050000,30450000,"CEU","EUR","iHS","LD","Klassmann et al.",NA
"7",4,33500000,34600000,"CEU","EUR","iHS","LD","Klassmann et al.",NA
"8",4,60100000,60350000,"CEU","EUR","iHS","LD","Klassmann et al.",NA
"9",7,102650000,102900000,"CEU","EUR","iHS","LD","Klassmann et al.",NA
"10",10,64050000,64300000,"CEU","EUR","iHS","LD","Klassmann et al.",NA
"11",10,67250000,67500000,"CEU","EUR","iHS","LD","Klassmann et al.",NA
"12",12,49500000,49800000,"CEU","EUR","iHS","LD","Klassmann et al.",NA
"13",12,111100000,111500000,"CEU","EUR","iHS","LD","Klassmann et al.",NA
"14",13,83750000,84050000,"CEU","EUR","iHS","LD","Klassmann et al.",NA
"15",14,61500000,61850000,"CEU","EUR","iHS","LD","Klassmann et al.",NA
"16",14,66400000,66650000,"CEU","EUR","iHS","LD","Klassmann et al.",NA
"17",15,28750000,29100000,"CEU","EUR","iHS","LD","Klassmann et al.",NA
"18",17,60550000,6.1e+07,"CEU","EUR","iHS","LD","Klassmann et al.",NA
"19",20,35900000,36150000,"CEU","EUR","iHS","LD","Klassmann et al.",NA
"20",21,10250000,10650000,"CEU","EUR","iHS","LD","Klassmann et al.",NA
"21",1,7.6e+07,76250000,"CHB","EAS","iHS","LD","Klassmann et al.",NA
"22",2,9400000,9650000,"CHB","EAS","iHS","LD","Klassmann et al.",NA
"23",2,17100000,17850000,"CHB","EAS","iHS","LD","Klassmann et al.",NA
"24",2,21600000,21950000,"CHB","EAS","iHS","LD","Klassmann et al.",NA
"25",2,108300000,108700000,"CHB","EAS","iHS","LD","Klassmann et al.",NA
"26",2,108800000,109050000,"CHB","EAS","iHS","LD","Klassmann et al.",NA
"27",2,135300000,135550000,"CHB","EAS","iHS","LD","Klassmann et al.",NA
"28",2,196300000,196600000,"CHB","EAS","iHS","LD","Klassmann et al.",NA
"29",2,212350000,212700000,"CHB","EAS","iHS","LD","Klassmann et al.",NA
"30",4,41400000,41650000,"CHB","EAS","iHS","LD","Klassmann et al.",NA
"31",7,86750000,8.7e+07,"CHB","EAS","iHS","LD","Klassmann et al.",NA
"32",7,101900000,102250000,"CHB","EAS","iHS","LD","Klassmann et al.",NA
"33",8,10950000,11250000,"CHB","EAS","iHS","LD","Klassmann et al.",NA
"34",9,123500000,1.24e+08,"CHB","EAS","iHS","LD","Klassmann et al.",NA
"35",10,104700000,105050000,"CHB","EAS","iHS","LD","Klassmann et al.",NA
"36",11,63750000,64100000,"CHB","EAS","iHS","LD","Klassmann et al.",NA
"37",16,17200000,17600000,"CHB","EAS","iHS","LD","Klassmann et al.",NA
"38",20,35500000,36100000,"CHB","EAS","iHS","LD","Klassmann et al.",NA
"39",21,10250000,10650000,"CHB","EAS","iHS","LD","Klassmann et al.",NA
"40",22,49700000,5e+07,"CHB","EAS","iHS","LD","Klassmann et al.",NA
"41",1,102900000,103250000,"JPT","EAS","iHS","LD","Klassmann et al.",NA
"42",2,17100000,17450000,"JPT","EAS","iHS","LD","Klassmann et al.",NA
"43",2,43500000,43900000,"JPT","EAS","iHS","LD","Klassmann et al.",NA
"44",2,108600000,109050000,"JPT","EAS","iHS","LD","Klassmann et al.",NA
"45",2,212400000,212700000,"JPT","EAS","iHS","LD","Klassmann et al.",NA
"46",4,41400000,41650000,"JPT","EAS","iHS","LD","Klassmann et al.",NA
"47",4,41950000,42200000,"JPT","EAS","iHS","LD","Klassmann et al.",NA
"48",4,98650000,98950000,"JPT","EAS","iHS","LD","Klassmann et al.",NA
"49",4,99100000,99500000,"JPT","EAS","iHS","LD","Klassmann et al.",NA
"50",9,123600000,123950000,"JPT","EAS","iHS","LD","Klassmann et al.",NA
"51",10,54100000,54400000,"JPT","EAS","iHS","LD","Klassmann et al.",NA
