"ID","Chr","Start","End","Pops","Metapops","Stats","Evidence","Source","GenesAnnotation"
"1","1",40945235,41335235,"ASW","AFR","Tajima_D","DFS","Carlson et al.",NA
"2","2",95212378,95852378,"ASW","AFR","Tajima_D","DFS","Carlson et al.",NA
"3","11",55815948,56225948,"ASW","AFR","Tajima_D","DFS","Carlson et al.",NA
"4","16",14458642,14758642,"ASW","AFR","Tajima_D","DFS","Carlson et al.",NA
"5","20",20431356,20791357,"ASW","AFR","Tajima_D","DFS","Carlson et al.",NA
"6","22",27979458,28469458,"ASW","AFR","Tajima_D","DFS","Carlson et al.",NA
"7","1",35085306,36075306,"CEU","EUR","Tajima_D","DFS","Carlson et al.",NA
"8","2",84331218,84671218,"CEU","EUR","Tajima_D","DFS","Carlson et al.",NA
"9","2",162137983,162557983,"CEU","EUR","Tajima_D","DFS","Carlson et al.",NA
"10","3",89558160,89978160,"CEU","EUR","Tajima_D","DFS","Carlson et al.",NA
"11","4",33105812,33735812,"CEU","EUR","Tajima_D","DFS","Carlson et al.",NA
"12","4",147601244,148001244,"CEU","EUR","Tajima_D","DFS","Carlson et al.",NA
"13","6",74293564,74593564,"CEU","EUR","Tajima_D","DFS","Carlson et al.",NA
"14","6",74813564,75123564,"CEU","EUR","Tajima_D","DFS","Carlson et al.",NA
"15","6",83733562,84033562,"CEU","EUR","Tajima_D","DFS","Carlson et al.",NA
"16","6",105045432,105425432,"CEU","EUR","Tajima_D","DFS","Carlson et al.",NA
"17","7",99217726,99837726,"CEU","EUR","Tajima_D","DFS","Carlson et al.",NA
"18","8",66575211,67205211,"CEU","EUR","Tajima_D","DFS","Carlson et al.",NA
"19","10",67200236,67500236,"CEU","EUR","Tajima_D","DFS","Carlson et al.",NA
"20","10",72910236,73660236,"CEU","EUR","Tajima_D","DFS","Carlson et al.",NA
"21","11",38001874,38381874,"CEU","EUR","Tajima_D","DFS","Carlson et al.",NA
"22","12",44029930,44329950,"CEU","EUR","Tajima_D","DFS","Carlson et al.",NA
"23","12",88593755,88943755,"CEU","EUR","Tajima_D","DFS","Carlson et al.",NA
"24","14",44741047,45161047,"CEU","EUR","Tajima_D","DFS","Carlson et al.",NA
"25","16",47438588,47748588,"CEU","EUR","Tajima_D","DFS","Carlson et al.",NA
"26","18",32796039,33336038,"CEU","EUR","Tajima_D","DFS","Carlson et al.",NA
"27","18",69891784,70221784,"CEU","EUR","Tajima_D","DFS","Carlson et al.",NA
"28","19",42344008,42724008,"CEU","EUR","Tajima_D","DFS","Carlson et al.",NA
"29","20",20431356,20761357,"CEU","EUR","Tajima_D","DFS","Carlson et al.",NA
"30","1",72132296,72612296,"CHD","EAS","Tajima_D","DFS","Carlson et al.",NA
"31","1",86832296,87142296,"CHD","EAS","Tajima_D","DFS","Carlson et al.",NA
"32","1",92042422,92852422,"CHD","EAS","Tajima_D","DFS","Carlson et al.",NA
"33","1",102952423,103282423,"CHD","EAS","Tajima_D","DFS","Carlson et al.",NA
"34","2",84401218,84771218,"CHD","EAS","Tajima_D","DFS","Carlson et al.",NA
"35","2",108275026,109045026,"CHD","EAS","Tajima_D","DFS","Carlson et al.",NA
"36","2",176699765,177039765,"CHD","EAS","Tajima_D","DFS","Carlson et al.",NA
"37","2",188449767,188879768,"CHD","EAS","Tajima_D","DFS","Carlson et al.",NA
"38","2",193959770,194299770,"CHD","EAS","Tajima_D","DFS","Carlson et al.",NA
"39","3",17553504,17873504,"CHD","EAS","Tajima_D","DFS","Carlson et al.",NA
"40","3",25683505,26233505,"CHD","EAS","Tajima_D","DFS","Carlson et al.",NA
"41","4",41827055,42207055,"CHD","EAS","Tajima_D","DFS","Carlson et al.",NA
"42","5",117996406,118336406,"CHD","EAS","Tajima_D","DFS","Carlson et al.",NA
"43","6",126287161,126767162,"CHD","EAS","Tajima_D","DFS","Carlson et al.",NA
"44","7",142815476,143146070,"CHD","EAS","Tajima_D","DFS","Carlson et al.",NA
"45","8",49504888,50094887,"CHD","EAS","Tajima_D","DFS","Carlson et al.",NA
"46","11",37841874,38311874,"CHD","EAS","Tajima_D","DFS","Carlson et al.",NA
"47","12",22325799,22655799,"CHD","EAS","Tajima_D","DFS","Carlson et al.",NA
"48","12",87943755,88463755,"CHD","EAS","Tajima_D","DFS","Carlson et al.",NA
"49","13",19567860,19917860,"CHD","EAS","Tajima_D","DFS","Carlson et al.",NA
"50","13",62967866,63287866,"CHD","EAS","Tajima_D","DFS","Carlson et al.",NA
"51","14",67773530,68233530,"CHD","EAS","Tajima_D","DFS","Carlson et al.",NA
"52","15",63470748,63990748,"CHD","EAS","Tajima_D","DFS","Carlson et al.",NA
"53","16",30781178,31151178,"CHD","EAS","Tajima_D","DFS","Carlson et al.",NA
"54","16",46588587,46908587,"CHD","EAS","Tajima_D","DFS","Carlson et al.",NA
"55","16",47458588,47898588,"CHD","EAS","Tajima_D","DFS","Carlson et al.",NA
"56","16",66998596,67468596,"CHD","EAS","Tajima_D","DFS","Carlson et al.",NA
"57","17",65873420,66213420,"CHD","EAS","Tajima_D","DFS","Carlson et al.",NA
"58","18",32806039,33316038,"CHD","EAS","Tajima_D","DFS","Carlson et al.",NA
