"ID","Chr","Start","End","Pops","Metapops","Stats","Evidence","Source","GenesAnnotation"
"1","16",15949576,16141500,NA,NA,"Fst,LRH,MAFthreshold","PD,LD,DFS","Sabeti el al. (Multiple)",NA
"2","8",39821002,39838256,NA,NA,"dN/dS,PAML","PC","Sabeti el al. (Multiple)",NA
"3","20",3084557,3085412,NA,NA,"LD,Fst","LD,PD","Sabeti el al. (Multiple)",NA
"4","1",230703142,230710850,NA,NA,"Fst,LD,Tajima_D,FuLi_D,FuLi_F,FayWu_H,GeographicCorrelation","PD,LD,DFS,HFDA","Sabeti el al. (Multiple)",NA
"5","12",111766541,111809978,NA,NA,"Fst,LD","PD,LD","Sabeti el al. (Multiple)",NA
"6","1",159587825,159588868,NA,NA,"Fst,LRH,MAFthreshold","PD,LD,DFS","Sabeti el al. (Multiple)",NA
"7","22",39077130,39087742,NA,NA,"dN/dS","PC","Sabeti el al. (Multiple)",NA
"8","1",196527721,196589835,NA,NA,"Ka/Ks,dN/dS,Tajima_D,FuLi_F,FayWu_H,MK,LD,Fst","PC,DFS,HFDA,LD,PD","Sabeti el al. (Multiple)",NA
"9","17",39919150,39999778,NA,NA,"LD,Ka/Ks","LD,PC","Sabeti el al. (Multiple)",NA
"10","2",240586766,240599103,NA,NA,"Fst,LD,Tajima_D,MK","PD,LD,DFS,PC","Sabeti el al. (Multiple)",NA
"11","3",46370141,46376200,NA,NA,"LD,dN/dS,LRH","LD,PC","Sabeti el al. (Multiple)",NA
"12","X",136648203,136660389,NA,NA,"LRH","LD","Sabeti el al. (Multiple)",NA
"13","1",198639094,198693203,NA,NA,"dN/dS","PC","Sabeti el al. (Multiple)",NA
"14","11",33703011,33736478,NA,NA,"Ka/Ks","PC","Sabeti el al. (Multiple)",NA
"15","Y",17878259,17880219,NA,NA,"Ka/Ks","PC","Sabeti el al. (Multiple)",NA
"16","19",49022869,49024336,NA,NA,"dN/dS","PC","Sabeti el al. (Multiple)",NA
"17","5",86569649,86572447,NA,NA,"Ka/Ks","PC","Sabeti el al. (Multiple)",NA
"18","11",63955822,63957758,NA,NA,"Ka/Ks","PC","Sabeti el al. (Multiple)",NA
"19","15",74749730,74756596,NA,NA,"Tajima_D,FayWu_H,FuLi_D,FuLi_F,HKA","DFS,HFDA","Sabeti el al. (Multiple)",NA
"20","7",99756959,99784146,NA,NA,"Tajima_D,Fst,FayWu_H,Hudson_HapTest,HKA","DFS,PD,HFDA,LD","Sabeti el al. (Multiple)",NA
"21","7",99648199,99679998,NA,NA,"Tajima_D,Fst,FayWu_H,GeographicCorrelation,Hudson_HapTest,HKA","DFS,PD,HFDA,LD","Sabeti el al. (Multiple)",NA
"22","Y",24256013,24398622,NA,NA,"dN/dS,PAML","PC","Sabeti el al. (Multiple)",NA
"23","3",16586795,16605421,NA,NA,"dN/dS,PAML","PC","Sabeti el al. (Multiple)",NA
"24","12",91145926,91182677,NA,NA,"Tajima_D,FuLi_D,FuLi_F,FayWu_H","DFS,HFDA","Sabeti el al. (Multiple)",NA
"25","X",32914827,33737672,NA,NA,"Tajima_D,FuLi_D,HKA,LD,Fst","DFS,LD,PD","Sabeti el al. (Multiple)",NA
"26","11",637304,640703,NA,NA,"Ka/Ks,LD","PC,LD","Sabeti el al. (Multiple)",NA
"27","14",20891402,20892347,NA,NA,"Bn/Bs","PC","Sabeti el al. (Multiple)",NA
"28","7",142855060,142871094,NA,NA,"Tajima_D,FuLi_D,FuLi_F,FayWu_H","DFS,HFDA","Sabeti el al. (Multiple)",NA
"29","X",139530764,139563458,NA,NA,"FuLi_D,Tajima_D,HKA","DFS","Sabeti el al. (Multiple)",NA
"30","7",114415220,114690100,NA,NA,"Tajima_D,PAML","DFS,PC","Sabeti el al. (Multiple)",NA
"31","1",159204807,159206499,NA,NA,"Fst,Tajima_D,HKA,LD","PD,DFS,LD","Sabeti el al. (Multiple)",NA
