"ID","Chr","Start","End","Pops","Metapops","Stats","Evidence","Source","GenesAnnotation"
"1","1",1129155,1310606,"ACB","AFR","iHS","LD","Johnson et al.",NA
"2","1",1962788,2078127,"ACB","AFR","iHS","LD","Johnson et al.",NA
"3","1",12581009,12733294,"ACB","AFR","iHS","LD","Johnson et al.",NA
"4","1",14016518,14180562,"ACB","AFR","iHS","LD","Johnson et al.",NA
"5","1",16494927,16677356,"ACB","AFR","iHS","LD","Johnson et al.",NA
"6","1",16901121,17011965,"ACB","AFR","iHS","LD","Johnson et al.",NA
"7","1",17576012,17763706,"ACB","AFR","iHS","LD","Johnson et al.",NA
"8","1",24727284,24854021,"ACB","AFR","iHS","LD","Johnson et al.",NA
"9","1",26796649,26899362,"ACB","AFR","iHS","LD","Johnson et al.",NA
"10","1",26953781,27085997,"ACB","AFR","iHS","LD","Johnson et al.",NA
"11","1",31927977,32111061,"ACB","AFR","iHS","LD","Johnson et al.",NA
"12","1",32229043,32548259,"ACB","AFR","iHS","LD","Johnson et al.",NA
"13","1",36777068,36985917,"ACB","AFR","iHS","LD","Johnson et al.",NA
"14","1",41177199,41277128,"ACB","AFR","iHS","LD","Johnson et al.",NA
"15","1",47030150,47186372,"ACB","AFR","iHS","LD","Johnson et al.",NA
"16","1",48313068,48472409,"ACB","AFR","iHS","LD","Johnson et al.",NA
"17","1",52406436,52567910,"ACB","AFR","iHS","LD","Johnson et al.",NA
"18","1",56884832,57023260,"ACB","AFR","iHS","LD","Johnson et al.",NA
"19","1",61015364,61148326,"ACB","AFR","iHS","LD","Johnson et al.",NA
"20","1",61615215,61784864,"ACB","AFR","iHS","LD","Johnson et al.",NA
"21","1",65568063,65769736,"ACB","AFR","iHS","LD","Johnson et al.",NA
"22","1",65847694,65965710,"ACB","AFR","iHS","LD","Johnson et al.",NA
"23","1",92287238,92455760,"ACB","AFR","iHS","LD","Johnson et al.",NA
"24","1",93426282,93589070,"ACB","AFR","iHS","LD","Johnson et al.",NA
"25","1",96676446,96847223,"ACB","AFR","iHS","LD","Johnson et al.",NA
"26","1",97598807,97810927,"ACB","AFR","iHS","LD","Johnson et al.",NA
"27","1",98462308,98576631,"ACB","AFR","iHS","LD","Johnson et al.",NA
"28","1",100926012,101055314,"ACB","AFR","iHS","LD","Johnson et al.",NA
"29","1",104849922,105049001,"ACB","AFR","iHS","LD","Johnson et al.",NA
"30","1",108211477,108313462,"ACB","AFR","iHS","LD","Johnson et al.",NA
"31","1",145794004,145883247,"ACB","AFR","iHS","LD","Johnson et al.",NA
"32","1",150591641,150776790,"ACB","AFR","iHS","LD","Johnson et al.",NA
"33","1",153348872,153534873,"ACB","AFR","iHS","LD","Johnson et al.",NA
"34","1",155680034,155807480,"ACB","AFR","iHS","LD","Johnson et al.",NA
"35","1",156229290,156383079,"ACB","AFR","iHS","LD","Johnson et al.",NA
"36","1",157119738,157313689,"ACB","AFR","iHS","LD","Johnson et al.",NA
"37","1",158786485,158983202,"ACB","AFR","iHS","LD","Johnson et al.",NA
"38","1",161041001,161219103,"ACB","AFR","iHS","LD","Johnson et al.",NA
"39","1",166372792,166561602,"ACB","AFR","iHS","LD","Johnson et al.",NA
"40","1",167229787,167422261,"ACB","AFR","iHS","LD","Johnson et al.",NA
"41","1",169930286,170094206,"ACB","AFR","iHS","LD","Johnson et al.",NA
"42","1",180586603,180858131,"ACB","AFR","iHS","LD","Johnson et al.",NA
"43","1",181974063,182126066,"ACB","AFR","iHS","LD","Johnson et al.",NA
"44","1",186273160,186437567,"ACB","AFR","iHS","LD","Johnson et al.",NA
"45","1",188616229,188773199,"ACB","AFR","iHS","LD","Johnson et al.",NA
"46","1",189752676,189920168,"ACB","AFR","iHS","LD","Johnson et al.",NA
"47","1",191006294,191123469,"ACB","AFR","iHS","LD","Johnson et al.",NA
"48","1",192106615,192229563,"ACB","AFR","iHS","LD","Johnson et al.",NA
"49","1",192948102,193082555,"ACB","AFR","iHS","LD","Johnson et al.",NA
"50","1",194323171,194506314,"ACB","AFR","iHS","LD","Johnson et al.",NA
"51","1",223014774,223320031,"ACB","AFR","iHS","LD","Johnson et al.",NA
"52","1",223347519,223542890,"ACB","AFR","iHS","LD","Johnson et al.",NA
"53","1",242257995,242458563,"ACB","AFR","iHS","LD","Johnson et al.",NA
"54","1",246137046,246350557,"ACB","AFR","iHS","LD","Johnson et al.",NA
"55","2",874223,1035547,"ACB","AFR","iHS","LD","Johnson et al.",NA
"56","2",30184589,30322919,"ACB","AFR","iHS","LD","Johnson et al.",NA
"57","2",33083214,33270372,"ACB","AFR","iHS","LD","Johnson et al.",NA
"58","2",53278846,53403235,"ACB","AFR","iHS","LD","Johnson et al.",NA
"59","2",59944622,60103890,"ACB","AFR","iHS","LD","Johnson et al.",NA
"60","2",66558962,66729688,"ACB","AFR","iHS","LD","Johnson et al.",NA
"61","2",79057968,79170928,"ACB","AFR","iHS","LD","Johnson et al.",NA
