"ID","Chr","Start","End","Pops","Metapops","Stats","Evidence","Source","GenesAnnotation"
"1","1",8630395,8730395,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"2","1",26468821,26568821,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"3","1",29924681,30024681,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"4","1",40221034,40321034,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"5","1",63764412,63864412,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"6","1",65464400,65564400,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"7","1",65564400,65664400,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"8","1",72464401,72564401,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"9","1",73264401,73364401,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"10","1",73364401,73464401,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"11","1",74264381,74364381,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"12","1",74911723,75011723,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"13","1",75011723,75111722,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"14","1",75211722,75311722,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"15","1",75311722,75411722,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"16","1",75511722,75611722,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"17","1",75611722,75711722,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"18","1",76011722,76111722,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"19","1",113358651,113458651,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"20","1",113658651,113758651,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"21","1",118610996,118710996,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"22","1",155010732,155110732,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"23","1",155110732,155213417,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"24","1",155213417,155313417,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"25","1",169143385,169243385,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"26","1",169243385,169343385,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"27","1",172691484,172791484,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"28","1",172791484,172891484,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"29","1",172891484,172991484,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"30","1",172991484,173091484,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"31","1",183691484,183791485,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"32","1",186491876,186591876,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"33","1",193642611,193742611,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"34","1",227037668,227137668,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"35","1",227137668,227237668,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"36","1",227237668,227337668,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"37","2",17034220,17134220,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"38","2",17134220,17234220,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"39","2",21502592,21602592,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"40","2",37198322,37298322,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"41","2",39198324,39298324,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"42","2",41498325,41598325,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"43","2",43698326,43798326,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"44","2",82898336,82998336,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"45","2",83198336,83298336,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"46","2",83298336,83398336,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"47","2",84698336,84798336,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"48","2",86398337,86498337,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"49","2",107362144,107462144,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"50","2",107462144,107562144,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"51","2",108062144,108162144,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"52","2",108262144,108362144,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"53","2",108362144,108462144,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"54","2",108462144,108562144,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"55","2",108762144,108862144,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"56","2",108862144,108962144,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"57","2",124947278,125047278,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"58","2",125047278,125147278,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"59","2",125247278,125347278,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"60","2",125347278,125447278,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"61","2",125447278,125547278,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"62","2",135831661,135931661,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"63","2",152640941,152740941,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"64","2",153740942,153840942,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"65","2",158240943,158340943,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"66","2",176732728,176832728,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"67","2",198232733,198332733,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"68","2",199932734,200032734,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"69","2",212332734,212432734,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"70","2",218232735,218332737,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"71","2",229732745,229832745,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"72","3",12483501,12583501,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"73","3",27283544,27383544,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"74","3",44297916,44397916,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"75","3",48601972,48702531,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"76","3",48803555,48903555,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"77","3",49403555,49503555,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"78","3",49603555,49703555,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"79","3",49803555,49903555,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"80","3",50603557,50703557,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"81","3",50703557,50803557,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"82","3",55408624,55508624,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"83","3",66416506,66516506,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"84","3",80729948,80829948,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"85","3",107560252,107660252,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"86","3",121860252,121960252,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"87","3",126560248,126660248,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"88","3",134760249,134860249,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"89","3",134960249,135060249,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"90","3",139460249,139560249,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"91","3",164061299,164161299,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"92","3",173461297,173561297,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"93","3",175461299,175561299,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"94","4",28347495,28447495,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"95","4",28647495,28747495,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"96","4",33301198,33401198,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"97","4",41682441,41782441,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"98","4",44682441,44782441,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"99","4",99320449,99420449,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"100","4",102920023,103020023,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"101","4",137801219,137901219,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"102","4",142801220,142901220,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"103","4",143001220,143101220,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"104","4",151901221,152001221,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"105","4",157601221,157701221,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"106","4",157901221,158001221,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"107","4",158001221,158101221,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"108","4",161001221,161101221,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"109","4",169182959,169282959,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"110","4",169282959,169382959,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"111","4",175382540,175482540,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"112","4",185182956,185282956,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"113","5",65388289,65488289,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"114","5",65488289,65588289,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"115","5",65588289,65688289,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"116","5",81420108,81520108,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"117","5",81520108,81620108,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"118","5",92220110,92320110,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"119","5",93790221,93890221,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"120","5",93890221,93990222,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"121","5",109088083,109188083,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"122","5",112788087,112888087,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"123","5",113388087,113488087,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"124","5",113488087,113588087,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"125","5",128288092,128388091,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"126","6",12991782,13091782,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"127","6",15291790,15391790,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"128","6",18891790,18991790,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"129","6",26191793,26291793,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"130","6",55888366,55988366,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"131","6",92894684,92994684,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"132","6",111333227,111433227,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"133","6",123298279,123398279,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"134","6",125498278,125598278,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"135","6",140198293,140298293,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"136","7",10216036,10316036,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"137","7",18216061,18316061,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"138","7",65923397,66023397,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"139","7",66123397,66223397,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"140","7",66623397,66723397,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"141","7",85458633,85558633,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"142","7",85558633,85658633,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"143","7",86358655,86458655,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"144","7",86658655,86758655,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"145","7",86758655,86858655,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"146","7",112499414,112599414,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"147","7",112599414,112699414,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"148","7",112699414,112799414,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"149","7",127205457,127305457,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"150","7",127505457,127605465,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"151","7",134099120,134199121,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"152","8",11105080,11205081,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"153","8",11305081,11405081,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"154","8",31884816,31984816,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"155","8",31984816,32084816,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"156","8",42627489,42727489,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"157","8",50237480,50337480,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"158","8",50337480,50437480,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"159","8",75537803,75637803,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"160","8",94831189,94931189,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"161","8",111831188,111931188,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"162","8",111931188,112031188,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"163","8",112231188,112331188,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"164","8",112431188,112531188,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"165","8",112531188,112631188,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"166","8",128631165,128731165,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"167","9",15710002,15810002,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"168","9",15910002,16010002,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"169","9",23210002,23310002,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"170","9",26710002,26810002,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"171","9",26810002,26910002,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"172","9",26910002,27010002,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"173","9",69427965,69527965,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"174","9",100257880,100357880,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"175","9",106157881,106257881,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"176","9",108357882,108457882,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"177","9",108457882,108557882,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"178","9",108957882,109057882,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"179","9",109057882,109157882,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"180","9",123661676,123761676,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"181","9",123761676,123861676,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"182","9",123861676,123961676,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"183","9",131648568,131748568,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"184","10",23207065,23307065,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"185","10",32807066,32907066,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"186","10",43120546,43220546,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"187","10",54195637,54295637,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"188","10",54295637,54395637,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"189","10",74395639,74495639,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"190","10",92775666,92875666,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"191","10",92875666,92975666,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"192","10",93075656,93175656,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"193","10",99175656,99275656,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"194","10",101875656,101975656,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"195","10",105475655,105575655,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"196","10",105575655,105675655,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"197","10",107975655,108075655,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"198","10",108275655,108375655,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"199","11",25014145,25114145,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"200","11",25314145,25414145,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"201","11",38414141,38514141,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"202","11",61057168,61157168,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"203","11",67357169,67457169,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"204","11",81562650,81662650,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"205","12",1220573,1320573,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"206","12",40919931,41019931,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"207","12",41119931,41219931,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"208","12",43919930,44019930,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"209","12",92703756,92803756,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"210","13",24827862,24927862,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"211","13",111049652,111149652,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
"212","14",28040659,28140755,"JPT,CHB","EAS","iHS","LD","Voight et al.",NA
