"ID","Chr","Start","End","Pops","Metapops","Stats","Evidence","Source","GenesAnnotation"
"1",1,7910032,8125925,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"2",1,37413009,37419513,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"3",1,41807253,41861170,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"4",1,58543607,58566370,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"5",1,63830300,64083408,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"6",1,65480438,65689724,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"7",1,69330706,69402353,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"8",1,75980107,76039227,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"9",1,102880188,103291417,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"10",1,105556381,105591040,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"11",1,109189458,109279544,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"12",1,112175197,112228107,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"13",1,113441032,113535415,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"14",1,119901079,120119114,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"15",1,157514663,157621626,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"16",1,159221858,159359791,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"17",1,174400537,174949633,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"18",1,176868681,176923250,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"19",1,179295156,179331361,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"20",1,229849193,229883301,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"21",1,234095539,234132064,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"22",1,234152091,234259425,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"23",1,235709365,235910294,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"24",1,238826511,238993070,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"25",2,4166807,4185314,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"26",2,9113777,9204630,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"27",2,12724640,12810486,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"28",2,17105843,17249571,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"29",2,17269685,17805416,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"30",2,21052953,21224815,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"31",2,38079312,38148819,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"32",2,39887330,39913389,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"33",2,43689599,43714805,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"34",2,52941549,53000611,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"35",2,55948896,55993136,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"36",2,56627055,56680118,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"37",2,72162205,72952861,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"38",2,73417353,73617122,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"39",2,78266827,78306773,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"40",2,82519420,82615449,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"41",2,86357127,86615051,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"42",2,103168561,103291692,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"43",2,103455078,103614837,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"44",2,107417692,107539578,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"45",2,108320249,108812690,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"46",2,118172482,118242108,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"47",2,120910326,120970946,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"48",2,125243780,125533423,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"49",2,125850911,125913012,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"50",2,144952667,145089666,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"51",2,146146286,146240072,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"52",2,152180440,152372054,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"53",2,170542526,170569344,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"54",2,170954222,171227665,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"55",2,176654701,176979604,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"56",2,183074445,183125135,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"57",2,187288935,187328736,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"58",2,197088127,197191959,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"59",2,198253614,198310161,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"60",2,210676139,210859531,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"61",2,212018201,212231620,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"62",2,214982453,215033421,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"63",2,215137267,215215405,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"64",2,215378194,215453514,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"65",2,216993936,217073574,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"66",2,219322796,219428017,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"67",2,231685450,231894692,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"68",2,236769285,236864182,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"69",2,236941773,237074630,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"70",3,12447383,12673793,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"71",3,25689836,26325463,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"72",3,27100317,27370689,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"73",3,31694523,31757762,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"74",3,35967190,36109444,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"75",3,104995037,105097033,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"76",3,134976501,135107895,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"77",3,138629115,138843693,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"78",3,157000091,157067978,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"79",3,162012095,162062366,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"80",3,167807538,167969493,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"81",3,169539445,169567821,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"82",3,173434969,173584160,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"83",3,180417580,180596491,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"84",3,188429393,188566425,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"85",3,197569230,198040075,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"86",4,5859484,5967637,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"87",4,9915038,10038565,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"88",4,13537332,13691700,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"89",4,28823865,28924844,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"90",4,29387916,29463450,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"91",4,34863665,34911919,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"92",4,41825858,42144640,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"93",4,85570865,85675831,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"94",4,93332994,93341162,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"95",4,103919038,104383334,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"96",4,105785899,105879883,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"97",4,148643091,148753595,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"98",4,152046578,152101511,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"99",4,157547712,157620941,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"100",4,158387500,158562252,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"101",4,159262378,159367288,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"102",4,168891873,169010508,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"103",4,169641633,169841587,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"104",4,170528147,170663267,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"105",4,176702723,176823378,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"106",5,10219056,10261322,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"107",5,14387380,14462707,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"108",5,21848188,21911407,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"109",5,30028450,30044693,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"110",5,41645449,42223433,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"111",5,58499995,58546222,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"112",5,59823757,59980613,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"113",5,67262732,67361909,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"114",5,72400053,72427817,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"115",5,81370649,81694539,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"116",5,82233424,82414229,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"117",5,87823852,88236441,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"118",5,89967683,90166830,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"119",5,98784434,98982953,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"120",5,100448412,100604992,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"121",5,101606751,101698208,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"122",5,103803992,103880390,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"123",5,109671554,109881967,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"124",5,110826841,110858070,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"125",5,113401041,113549031,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"126",5,117199503,117328979,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"127",5,117549323,117704223,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"128",5,117995294,118160765,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"129",5,118526154,118572522,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"130",5,128493025,128724456,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"131",5,153737688,153858763,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"132",5,154132768,154242146,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"133",5,170694804,170773631,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"134",6,10643602,10858844,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"135",6,11862903,11961737,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"136",6,12819340,12963730,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"137",6,25698253,25780104,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"138",6,26275421,26394092,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"139",6,33685671,33809100,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"140",6,44572577,44599686,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"141",6,54873448,54973651,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"142",6,55895890,56021311,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"143",6,56242383,56295010,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"144",6,67329958,67621070,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"145",6,69033398,69116615,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"146",6,71124405,71214302,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"147",6,82612285,82723128,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"148",6,84003033,84215180,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"149",6,90601136,90669221,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"150",6,92729933,92772115,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"151",6,92863698,92918642,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"152",6,97205491,97274577,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"153",6,105363433,105481982,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"154",6,107772376,107847943,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"155",6,108276530,108512907,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"156",6,116994047,117061037,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"157",6,126128199,126757640,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"158",6,128948267,129089591,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"159",6,136989912,137025137,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"160",6,139046460,139262853,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"161",6,153594379,153606113,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"162",7,14693781,14719516,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"163",7,30961460,31039263,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"164",7,55041484,55109003,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"165",7,81208075,81328759,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"166",7,83372239,83458656,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"167",7,86590739,86704812,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"168",7,102028877,102242779,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"169",7,106237262,106305130,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"170",7,108779550,108876348,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"171",7,109158494,109412696,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"172",7,117738302,117809790,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"173",7,119804192,119893806,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"174",7,121230106,121278726,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"175",7,131838204,131935088,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"176",7,132128703,132161271,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"177",7,143005098,143224141,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"178",7,145731474,145904557,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"179",7,146210832,146315688,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"180",7,146368802,146476520,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"181",7,146600558,146632237,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"182",7,148016710,148075987,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"183",7,149063409,149206892,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"184",7,151267291,151298262,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"185",7,153666950,153713907,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"186",8,8968365,9085920,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"187",8,10869332,11240295,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"188",8,11558063,11605506,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"189",8,11920468,12060941,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"190",8,16790674,16816587,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"191",8,20851490,20933506,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"192",8,21205693,21323361,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"193",8,24505297,24541341,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"194",8,26488917,26576047,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"195",8,30742918,30904102,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"196",8,34674583,34819629,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"197",8,49383582,49495963,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"198",8,49560379,49941603,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"199",8,49955810,50108524,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"200",8,50143781,50334640,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"201",8,62092854,62118702,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"202",8,65773852,66114158,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"203",8,67905606,68017758,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"204",8,71165822,71254018,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"205",8,72906788,73014780,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"206",8,74688202,74780165,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"207",8,81122216,81207268,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"208",8,81868288,81937217,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"209",8,106098674,106276121,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"210",8,110402500,110820376,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"211",8,115748639,115810820,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"212",8,119829169,119927196,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"213",8,121492404,121621864,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"214",8,125871207,126138126,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"215",8,128789276,128889406,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"216",8,133838958,133944846,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"217",8,137920923,138014504,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"218",9,389285,517715,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"219",9,9720505,9751905,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"220",9,16011898,16048846,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"221",9,25096908,25260928,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"222",9,26776086,27108812,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"223",9,83631780,83707825,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"224",9,88306476,88640228,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"225",9,92171365,92796381,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"226",10,4198380,4286816,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"227",10,5844186,5862955,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"228",10,11002693,11055649,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"229",10,21210948,21354792,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"230",10,23530988,23616986,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"231",10,34282123,34338284,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"232",10,36807410,36931281,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"233",10,49700018,49782853,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"234",10,51451689,51480262,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"235",10,51532053,51597004,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"236",10,54110535,54314442,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"237",10,56956233,57090807,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"238",10,57818635,57935659,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"239",10,62308584,62425524,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"240",10,72521873,72858256,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"241",10,90275700,90318940,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"242",10,93079885,93258687,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"243",10,93785621,93892373,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"244",10,107857799,108053714,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"245",10,112988738,113048313,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"246",10,114921569,115042804,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"247",10,125221227,125281392,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"248",11,10641505,10697059,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"249",11,40220513,40239557,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"250",11,57244801,57381258,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"251",11,78826955,78928398,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
"252",11,81540463,81581467,"ASW,CHB","AFR,EAS","Fst","PD","Myles et al.",NA
