"ID","Chr","Start","End","Pops","Metapops","Stats","Evidence","Source","GenesAnnotation"
"1","10",74151202,74709963,"CEU,CHB,JPT,YRI","EUR,EAS,AFR","LDD","LD","Wang et al.","ADK"
"2","7",91940840,92110673,"CEU,CHB,JPT,YRI","EUR,EAS,AFR","LDD","LD","Wang et al.","AKAP9"
"3","10",74120255,74150842,"CEU,CHB,JPT,YRI","EUR,EAS,AFR","LDD","LD","Wang et al.","AP3M1"
"4","6",100508194,100881372,"CEU,CHB,JPT,YRI","EUR,EAS,AFR","LDD","LD","Wang et al.","ASCC3"
"5","7",69598296,70793506,"CEU,CHB,JPT,YRI","EUR,EAS,AFR","LDD","LD","Wang et al.","AUTS2"
"6","X",108155607,108439497,"CEU,CHB,JPT,YRI","EUR,EAS,AFR","LDD","LD","Wang et al.","COL4A6"
"7","10",92046692,92291078,"CEU,CHB,JPT,YRI","EUR,EAS,AFR","LDD","LD","Wang et al.","CPEB3"
"8","12",38646822,38907430,"CEU,CHB,JPT,YRI","EUR,EAS,AFR","LDD","LD","Wang et al.","CPNE8"
"9","20",49046246,49096960,"CEU,CHB,JPT,YRI","EUR,EAS,AFR","LDD","LD","Wang et al.","CSE1L"
"10","8",112222928,113436939,"CEU,CHB,JPT,YRI","EUR,EAS,AFR","LDD","LD","Wang et al.","CSMD3"
"11","9",92493554,92536655,"CEU,CHB,JPT,YRI","EUR,EAS,AFR","LDD","LD","Wang et al.","ECM2"
"12","X",154835788,155026940,"CEU,CHB,JPT,YRI","EUR,EAS,AFR","LDD","LD","Wang et al.","F8"
"13","X",34129752,34132314,"CEU,CHB,JPT,YRI","EUR,EAS,AFR","LDD","LD","Wang et al.","FAM47A"
"14","9",95099054,95426796,"CEU,CHB,JPT,YRI","EUR,EAS,AFR","LDD","LD","Wang et al.","FANCC"
"15","11",49145092,49208638,"CEU,CHB,JPT,YRI","EUR,EAS,AFR","LDD","LD","Wang et al.","FOLH1"
"16","X",155025980,155060304,"CEU,CHB,JPT,YRI","EUR,EAS,AFR","LDD","LD","Wang et al.","FUNDC2"
"17","15",49155656,49367869,"CEU,CHB,JPT,YRI","EUR,EAS,AFR","LDD","LD","Wang et al.","GALK2"
"18","X",14529298,14731812,"CEU,CHB,JPT,YRI","EUR,EAS,AFR","LDD","LD","Wang et al.","GLRA2"
"19","5",45254948,45696498,"CEU,CHB,JPT,YRI","EUR,EAS,AFR","LDD","LD","Wang et al.","HCN1"
"20","10",98457077,99235862,"CEU,CHB,JPT,YRI","EUR,EAS,AFR","LDD","LD","Wang et al.","HPSE2"
"21","X",104566199,105767829,"CEU,CHB,JPT,YRI","EUR,EAS,AFR","LDD","LD","Wang et al.","IL1RAPL2"
"22","7",110662644,111562517,"CEU,CHB,JPT,YRI","EUR,EAS,AFR","LDD","LD","Wang et al.","IMMP2L"
"23","6",61679961,62286225,"CEU,CHB,JPT,YRI","EUR,EAS,AFR","LDD","LD","Wang et al.","KHDRBS2"
"24","4",150264435,151015727,"CEU,CHB,JPT,YRI","EUR,EAS,AFR","LDD","LD","Wang et al.","LRBA"
"25","X",26192440,26195646,"CEU,CHB,JPT,YRI","EUR,EAS,AFR","LDD","LD","Wang et al.","MAGEB6"
"26","X",51803007,51902354,"CEU,CHB,JPT,YRI","EUR,EAS,AFR","LDD","LD","Wang et al.","MAGED1"
"27","1",45786987,46036122,"CEU,CHB,JPT,YRI","EUR,EAS,AFR","LDD","LD","Wang et al.","MAST2"
"28","11",47617315,47642607,"CEU,CHB,JPT,YRI","EUR,EAS,AFR","LDD","LD","Wang et al.","MTCH2"
"29","17",58489529,58517905,"CEU,CHB,JPT,YRI","EUR,EAS,AFR","LDD","LD","Wang et al.","MTMR4"
"30","20",34689097,34825651,"CEU,CHB,JPT,YRI","EUR,EAS,AFR","LDD","LD","Wang et al.","NCOA6"
