"ID","Chr","Start","End","Pops","Metapops","Stats","Evidence","Source","GenesAnnotation"
"1","16",10998642,11398642,NA,"AMR","iHS","LD","Pickrell et al.",NA
"2","2",160517982,160917982,NA,"AMR","iHS","LD","Pickrell et al.",NA
"3","6",47524305,47724305,NA,"AMR","iHS","LD","Pickrell et al.",NA
"4","10",108250252,108450252,NA,"AMR","iHS","LD","Pickrell et al.",NA
"5","12",30755799,30955799,NA,"AMR","iHS","LD","Pickrell et al.",NA
"6","6",122237155,122437156,NA,"AMR","iHS","LD","Pickrell et al.",NA
"7","13",88349744,88749745,NA,"AMR","iHS","LD","Pickrell et al.",NA
"8","5",141640249,141840251,NA,"AMR","iHS","LD","Pickrell et al.",NA
"9","4",67905516,68105516,NA,"AMR","iHS","LD","Pickrell et al.",NA
"10","8",33422940,33622940,NA,"AMR","iHS","LD","Pickrell et al.",NA
"11","20",53950054,54150054,NA,"AMR","iHS","LD","Pickrell et al.",NA
"12","3",156799509,156999509,NA,"AMR","iHS","LD","Pickrell et al.",NA
"13","7",108565605,108765605,NA,"AMR","iHS","LD","Pickrell et al.",NA
"14","1",163098552,163498552,NA,"AMR","iHS","LD","Pickrell et al.",NA
"15","21",39306204,39506204,NA,"AMR","iHS","LD","Pickrell et al.",NA
"16","6",122637156,122837156,NA,"AMR","iHS","LD","Pickrell et al.",NA
"17","7",101163284,101363284,NA,"AMR","iHS","LD","Pickrell et al.",NA
"18","6",72233576,72433577,NA,"AMR","iHS","LD","Pickrell et al.",NA
"19","8",94518596,94718596,NA,"AMR","iHS","LD","Pickrell et al.",NA
"20","3",21183504,21383504,NA,"AMR","iHS","LD","Pickrell et al.",NA
"21","6",54627243,55027243,NA,"AMR","iHS","LD","Pickrell et al.",NA
"22","12",30155800,30355800,NA,"AMR","iHS","LD","Pickrell et al.",NA
"23","12",3620573,3820573,NA,"AMR","iHS","LD","Pickrell et al.",NA
"24","3",24783505,24983505,NA,"AMR","iHS","LD","Pickrell et al.",NA
"25","1",199699215,199899215,NA,"AMR","iHS","LD","Pickrell et al.",NA
"26","5",81468425,81868425,NA,"AMR","iHS","LD","Pickrell et al.",NA
"27","21",39706203,39906205,NA,"AMR","iHS","LD","Pickrell et al.",NA
"28","5",154240247,154440247,NA,"AMR","iHS","LD","Pickrell et al.",NA
"29","6",121837155,122037155,NA,"AMR","iHS","LD","Pickrell et al.",NA
"30","11",69476051,69676051,NA,"AMR","iHS","LD","Pickrell et al.",NA
"31","2",3659041,3859041,NA,"AMR","iHS","LD","Pickrell et al.",NA
"32","17",36968588,37168960,NA,"AMR","iHS","LD","Pickrell et al.",NA
"33","22",49685491,49885491,NA,"AMR","iHS","LD","Pickrell et al.",NA
"34","2",54661212,55061213,NA,"AMR","iHS","LD","Pickrell et al.",NA
