"GeneID","Count","Chr","Pops","Metapops","Stats","Evidence","SourceIDs","ratio","gene_biotype"
"ENSG00000083454",12,"17","YRI,ACB,ASW,ESN,GWD,LWK,MSL,BSP","AFR","iHS,XPEHH","LD","02_76,03_715,03_716,05_525,05_1133,05_5200,05_7510,05_10404,05_11038,05_14897,12_213,12_995",12,"protein_coding"
"ENSG00000143502",12,"1","ACB,ASW,ESN,GWD,LWK,MSL,YRI","AFR","iHS","LD","05_51,05_52,05_661,05_662,05_4698,05_4699,05_7066,05_9944,05_10557,05_10558,05_14431,05_14432",12,"protein_coding"
"ENSG00000257950",12,"17","YRI,ACB,ASW,ESN,GWD,LWK,MSL,BSP","AFR","iHS,XPEHH","LD","02_76,03_715,03_716,05_525,05_1133,05_5200,05_7510,05_10404,05_11038,05_14897,12_213,12_995",12,"protein_coding"
"ENSG00000286849",12,"16","CDX,CHB,KHV,JPT,CHS,CHD","EAS","iHS,nSL","LD","01_867,02_37,02_56,02_116,05_2220,05_3357,05_3945,05_9175,05_9783,06_63,06_66,06_88",12,"lncRNA"
"ENSG00000183117",58,"8","GIH,STU,ACB,ASW,BEB,CDX,CEU,CHB,CHS,CLM,ESN,FIN,GBR,GWD,IBS,JPT,KHV,LWK,MSL,MXL,PEL,TSI,YRI,BSP","SAS,AFR,EAS,EUR,AMR","Tajima_D,iHS,XPEHH","DFS,LD","01_2458,05_312,05_313,05_314,05_315,05_905,05_906,05_907,05_908,05_1467,05_1468,05_1469,05_2039,05_2040,05_2610,05_2611,05_3178,05_3179,05_3180,05_3769,05_3770,05_3771,05_4335,05_4961,05_4962,05_4963,05_4964,05_5598,05_6178,05_6179,05_6712,05_7303,05_7304,05_7305,05_7875,05_7876,05_8997,05_9589,05_10188,05_10189,05_10820,05_10821,05_10822,05_10823,05_10824,05_11388,05_11389,05_11899,05_11900,05_11901,05_13507,05_14059,05_14060,05_14688,05_14689,05_14690,05_14691,12_979",11.6,"protein_coding"
"ENSG00000040531",11,"17","YRI,ACB,ASW,ESN,GWD,LWK,MSL,BSP","AFR","iHS,XPEHH","LD","02_76,03_715,05_525,05_1133,05_5200,05_7510,05_10404,05_11038,05_14897,12_213,12_995",11,"protein_coding"
"ENSG00000075290",11,"10","YRI,ACB,ASW,ESN,GWD,LWK,MSL","AFR","iHS","LD","01_324,02_68,03_650,03_651,05_392,05_988,05_5040,05_7388,05_10264,05_10903,05_14770",11,"protein_coding"
"ENSG00000083457",11,"17","YRI,ACB,ASW,ESN,GWD,LWK,MSL,BSP","AFR","iHS,XPEHH","LD","02_76,03_716,05_525,05_1133,05_5200,05_7510,05_10404,05_11038,05_14897,12_213,12_995",11,"protein_coding"
"ENSG00000122584",11,"7","ACB,ASW,ESN,GWD,LWK,MSL,YRI","AFR","iHS","LD","05_279,05_280,05_877,05_878,05_4929,05_7267,05_7268,05_10161,05_10778,05_10779,05_14656",11,"protein_coding"
"ENSG00000127774",11,"17","YRI,ACB,ASW,ESN,GWD,LWK,MSL,BSP","AFR","iHS,XPEHH","LD","02_76,03_715,05_525,05_1133,05_5200,05_7510,05_10404,05_11038,05_14897,12_213,12_995",11,"protein_coding"
"ENSG00000166135",11,"10","YRI,ACB,ASW,ESN,GWD,MSL","AFR","iHS,nSL","LD","01_324,02_68,03_651,05_392,05_988,05_5040,05_7388,05_10903,05_14770,06_3,06_278",11,"protein_coding"
"ENSG00000168658",11,"2","LWK,YRI,ACB,ASW,ESN,MSL,BPY,BSP","AFR","FayWu_H,FuLi_D,iHS","HFDA,DFS,LD","01_1251,01_1252,02_62,03_520,05_65,05_677,05_4724,05_10582,05_14460,12_138,12_257",11,"protein_coding"
